8.685570955276489258e-01,-1.926260828971862793e+00,5.092261433601379395e-01,8.878479003906250000e-01,-6.100790500640869141e-01,-6.971654295921325684e-01,-7.165598869323730469e-01,3.517112731933593750e-01,-1.624570250511169434e+00,5.076388716697692871e-01,7.544194459915161133e-01,-6.361411809921264648e-01,7.553955912590026855e-01,-4.079264998435974121e-01,-5.313259959220886230e-01,-6.062110066413879395e-01,-6.604285240173339844e-01,-5.631987452507019043e-01,8.434761166572570801e-01,1.766857504844665527e-01,-1.796317845582962036e-01,9.606805443763732910e-02,-4.397271275520324707e-01,-2.462164461612701416e-01,1.281859278678894043e+00,-2.248056381940841675e-01,-6.600956916809082031e-01,-1.063458204269409180e+00,-8.649678826332092285e-01,-1.001386493444442749e-01,-4.718732833862304688e-02,5.790886878967285156e-01
1.266284704208374023e+00,8.686679601669311523e-01,6.483836174011230469e-01,-5.715937614440917969e-01,-3.368570804595947266e-01,-7.665222287178039551e-01,-8.991504311561584473e-01,9.749499559402465820e-01,-1.593448996543884277e+00,1.862736344337463379e-01,1.311833858489990234e+00,-1.378991603851318359e+00,5.388567447662353516e-01,2.305650562047958374e-01,-8.929217457771301270e-01,-1.272851824760437012e+00,-6.279375553131103516e-01,-4.403361082077026367e-01,8.686772584915161133e-01,-3.595859706401824951e-01,-2.483687847852706909e-01,1.129275441169738770e+00,-4.849962890148162842e-01,-2.059193253517150879e-01,1.495241075754165649e-01,7.335495352745056152e-01,-2.210643887519836426e-01,-1.047135472297668457e+00,-8.759641647338867188e-01,-9.293039143085479736e-02,-3.782977461814880371e-01,6.426953077316284180e-01
4.542388767004013062e-02,7.795950770378112793e-01,-7.900924086570739746e-01,4.732051491737365723e-01,-6.172529458999633789e-01,-8.036369085311889648e-01,-6.607975959777832031e-01,-7.928944230079650879e-01,-1.844044566154479980e+00,1.193441271781921387e+00,2.859975397586822510e-01,-2.117145955562591553e-01,7.064328193664550781e-01,7.964534312486648560e-02,-7.844134569168090820e-01,-3.261320292949676514e-01,-6.346700191497802734e-01,-8.239249587059020996e-01,3.973777890205383301e-01,3.331567049026489258e+00,7.188535928726196289e-01,-1.889749765396118164e-01,-7.579895853996276855e-01,-6.964240074157714844e-01,3.387102603912353516e+00,6.632577627897262573e-02,-6.277646422386169434e-01,-2.920410931110382080e-01,-4.559686779975891113e-01,2.433271557092666626e-01,2.099720388650894165e-01,6.824285984039306641e-01
5.870586037635803223e-01,-1.148157417774200439e-01,1.841088980436325073e-01,5.264051556587219238e-01,-2.682345211505889893e-01,-3.153434395790100098e-01,-4.745264053344726562e-01,8.628720045089721680e-01,-6.053389310836791992e-01,2.684775888919830322e-01,6.666981577873229980e-01,-7.005963325500488281e-01,4.758967757225036621e-01,-4.558449089527130127e-01,-6.278271079063415527e-01,-5.479036569595336914e-01,-4.524652957916259766e-01,-2.560429573059082031e-01,5.174370408058166504e-01,1.867998361587524414e+00,-1.876690387725830078e-01,3.331405520439147949e-01,-2.985277175903320312e-01,-5.436226129531860352e-01,-1.338877439498901367e+00,-2.500087320804595947e-01,-3.440626561641693115e-01,-8.856332302093505859e-01,-4.319261610507965088e-01,6.128678917884826660e-01,4.875293970108032227e-01,5.323452949523925781e-01
7.271927595138549805e-01,-3.574534058570861816e-01,-3.210344910621643066e-01,1.267216801643371582e+00,-5.341477394104003906e-01,-4.473725259304046631e-01,-5.950327515602111816e-01,-3.695357739925384521e-01,1.028056502342224121e+00,7.823244929313659668e-01,6.692289113998413086e-01,-5.553802847862243652e-01,6.405921578407287598e-01,-7.821372747421264648e-01,-4.140578210353851318e-01,-7.022866010665893555e-01,-6.582240574061870575e-03,-6.191970109939575195e-01,2.212240099906921387e-01,2.003941059112548828e+00,6.927215307950973511e-02,1.073958277702331543e+00,-7.195081114768981934e-01,-6.903808116912841797e-01,-1.161627173423767090e+00,1.101440750062465668e-02,-1.654775887727737427e-01,-5.618645548820495605e-01,-5.028917193412780762e-01,1.820352077484130859e-01,2.611095607280731201e-01,4.366451799869537354e-01
6.100810170173645020e-01,-1.046356201171875000e+00,-6.673734635114669800e-02,3.319211006164550781e-01,-3.538757562637329102e-01,-4.081799387931823730e-01,-4.533411860466003418e-01,2.725303769111633301e-01,2.209182828664779663e-01,6.745550632476806641e-01,7.307394742965698242e-01,-6.414170265197753906e-01,7.735693454742431641e-01,-1.652267277240753174e-01,-5.106088519096374512e-01,-5.759231448173522949e-01,-5.314034819602966309e-01,-5.605784654617309570e-01,4.557737410068511963e-01,1.219264417886734009e-01,1.545496731996536255e-01,2.814667820930480957e-01,-4.594411849975585938e-01,-5.793394446372985840e-01,5.775447487831115723e-01,-3.482089564204216003e-02,-4.788382053375244141e-01,-7.030386328697204590e-01,-7.095166444778442383e-01,4.042769372463226318e-01,2.200867980718612671e-01,4.755581617355346680e-01
8.238197565078735352e-01,6.626354455947875977e-01,-1.517285704612731934e-01,5.050956606864929199e-01,-6.626163125038146973e-01,-7.874763607978820801e-01,-9.620612263679504395e-01,1.770914942026138306e-01,-1.945541620254516602e+00,9.366663098335266113e-01,9.055963754653930664e-01,-4.963331520557403564e-01,5.557577013969421387e-01,1.006827354431152344e+00,-4.197604358196258545e-01,-1.524253040552139282e-01,-7.881843447685241699e-01,-6.717453598976135254e-01,5.699884891510009766e-01,-1.201468110084533691e+00,4.364535808563232422e-01,2.980175614356994629e-01,-7.083206176757812500e-01,-7.569932937622070312e-01,-1.511230587959289551e+00,-3.167411684989929199e-01,-8.083218932151794434e-01,-6.802721619606018066e-01,-7.189226746559143066e-01,7.104402184486389160e-01,8.194189071655273438e-01,1.088375806808471680e+00
7.208536267280578613e-01,-4.735351204872131348e-01,-3.472009301185607910e-01,1.895854234695434570e+00,-5.964335203170776367e-01,-3.441519439220428467e-01,-6.267237663269042969e-01,-3.846849501132965088e-01,7.080037593841552734e-01,5.272459983825683594e-01,6.629589200019836426e-01,-6.510953307151794434e-01,7.435449957847595215e-01,-6.899952292442321777e-01,-5.278706550598144531e-01,-8.291156888008117676e-01,-6.445921659469604492e-01,-7.354116439819335938e-01,-6.634934991598129272e-02,2.095133543014526367e+00,2.848045825958251953e-01,8.327763676643371582e-01,-4.690532088279724121e-01,-7.949444651603698730e-01,-1.493172526359558105e+00,-1.986601501703262329e-01,-6.294791102409362793e-01,-4.431288838386535645e-01,-7.619018554687500000e-01,3.114710152149200439e-01,2.123434394598007202e-01,-4.937542602419853210e-02
8.134236931800842285e-01,8.041846156120300293e-01,4.810300171375274658e-01,5.859035253524780273e-01,-7.100076675415039062e-01,-7.199407815933227539e-01,-7.696330547332763672e-01,6.820268183946609497e-02,1.999260485172271729e-02,5.665165781974792480e-01,6.381796598434448242e-01,-4.510362446308135986e-01,6.382311582565307617e-01,3.311989903450012207e-01,-4.297927916049957275e-01,-6.527445316314697266e-01,-7.659076452255249023e-01,-5.194860100746154785e-01,8.297527432441711426e-01,-2.155788615345954895e-02,1.173724159598350525e-01,8.407055139541625977e-01,-7.984203100204467773e-01,-7.464385628700256348e-01,2.240868091583251953e+00,-6.918000578880310059e-01,-8.430960774421691895e-01,-6.336442828178405762e-01,-6.501339673995971680e-01,3.930868804454803467e-01,2.141167223453521729e-01,8.000950217247009277e-01
7.141888141632080078e-01,-6.409775465726852417e-02,-2.791031002998352051e-01,-9.442972540855407715e-01,-4.688751101493835449e-01,-8.700571656227111816e-01,-5.761131048202514648e-01,6.824598908424377441e-01,-1.697254180908203125e+00,4.479461014270782471e-01,7.109348773956298828e-01,-9.136393666267395020e-01,7.524078488349914551e-01,-1.178515031933784485e-01,-2.911798357963562012e-01,-8.283630013465881348e-01,-4.111698269844055176e-01,-4.885669350624084473e-01,6.742323040962219238e-01,1.882163047790527344e+00,-2.760617295280098915e-03,6.796435266733169556e-02,-1.743088066577911377e-01,-2.328083217144012451e-01,-6.917384862899780273e-01,2.541607320308685303e-01,-2.235110253095626831e-01,-7.400976419448852539e-01,-5.373494029045104980e-01,4.532706439495086670e-01,3.058730065822601318e-01,7.129383087158203125e-01
